"respid","interviewstart","q1_purchases_last6months","q2_timesin12months","q3_visitstore12months","q4_visitweb12months","q3_1_purchoff12months","q4_1_purchonline12months","typeofcustomer","typeofvisits","segments","q5_clothes","q5_shoes","q5_bags","q5_personalcare","q5_others","q5_others_desc","q6_purchinstore_websearch","q7_purchonl_searchinstore","q8_purchinstore_searchmobile","q10_purchinstore_homedelivery","q11_purchonline_pickupstore","q12_1_instore_homedeliv_weight","q12_2_instore_homedeliv_brandedbags","q12_3_instore_homedeliv_differentsender","q12_4_instore_homedelive_neverhomedelivery","q12_5_instore_homedel_other","q12_6_instore_homedel_other_esp","q13_1_online_storedel_sendingfees","q13_2_online_storedel_return","q13_3_online_storedel_unknownaddress","q13_4_online_storedel_visitstore","q13_5_online_storedel_neverused","q13_6_online_storedel_other","q13_7_online_storedel_other_esp","q14_storelocationaccesibility","q15_webaccesibility","q16_instore_access_product_anywhere","q17_online_access_product_anywhere","q18_instore_shortdeliverytime","q19_online_shortdeliverytime","q20_instore_information_employees","q21_online_information_web_mails","q22_instore_infoaboutproducts","q23_online_infoaboutproducts","q24_instore_assortment","q25_online_assortment","q26_instore_productform_assurance","q27_online_productform_assurance","q28_instore_assort_lasting","q29_online_assort_lasting","q30_instore_deliverytime","q31_online_deliverytime","q32_online_info_deliverytime","q33_instore_return_policy","q34_online_return_policy","q35_instore_payment_methods","q36_online_payment_methods","q37_instore_kindness_employees","q38_instore_tidyness","q39_online_attractivedesign","q40_online_clarityportfolio","q41_online_peaceofmindinfo_privacysecurity","q42_instore_pleasant_socialinteraction","q43_online_pleasant_socialinteraction","q44_satisfaction_products_brand","q45_satisfaction_instore_brand","q46_satisfaction_web_brand","q47_instore_search_alternat","q48_online_search_alternat","q49_futureint_productsbrand","q50_futureint_instorepurch","q51_futureint_onlinepurch","q52_out10_instoreBrand_totalinstore","q53_out10_onlineBrand_totalinstore","q54_instore_recomend","q55_online_recomend","q56_newchannel_attitud","q57_instore_prices_to_otherbrands","q58_online_pricesto_otheronline","q59_online_sendingfees_toothers","q60_instore_impreducingtime","q61_online_impreducingtime","q62_out10_instoreBrand_totalinstore","q63_out10_onlineBrand_totalinstore","q64_Sex","q65_age","q_65_recoded_age","q66_marital_status","q67_peopleathome","q68_childrenunder14","q69_localzipnumber","q70_state","q71_town_pop","q72_educationlevel","q73_occupation","q74_monthlyincome","distance_km","distance_minutes"
"413",2015-03-28 05:10:00,"YES","10-19%","YES","NO","Twice or three times",NA,"In-store shopper","visitstore","In-store customer_monochannel user","YES","NO","NO","NO","NO",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,7,6,10,6,7,6,10,8,10,6,9,6,9,6,10,6,0,8,0,10,0,10,0,0,0,0,10,0,8,8,0,8,0,8,0,0,2,0,8,0,"Disfruto explorando canales alternativos",8,0,0,7,7,1,0,"Female",38,"De 25 a 40 años","Vive en pareja (sin casarse)",2,"Ninguno","9003","BURGOS","De 100000 a 499999 habitantes","Enseñanza secundaria (BUP/Bachillerato/FP)","Trabaja por cuenta ajena","De 1.000 a 1.249,99 €",3.6,10
"419",2015-03-28 06:02:00,"YES","10-19%","YES","YES","Twice or three times","None","In-store shopper","visitboth","In-store customer_omnichannel user","YES","YES","YES","NO","NO",NA,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10,9,9,10,7,0,2,10,8,9,9,8,6,9,9,8,8,10,8,7,10,9,7,8,8,9,7,7,7,10,10,5,8,5,10,9,3,10,0,10,5,"Soy cauteloso a la hora de probar nuevos canales",7,6,6,3,0,10,0,"Female",46,"De 41 a 60 años","Casado/a",4,"Ninguno","28660","MADRID","De 20000 a 99999 habitantes","Estudios universitarios","Trabaja por cuenta ajena","De 1.000 a 1.249,99 €",8.2,11
"420",2015-03-28 06:03:00,"YES","10-19%","YES","NO","Twice or three times",NA,"In-store shopper","visitstore","In-store customer_monochannel user","YES","NO","NO","NO","NO",NA,0,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,8,7,7,8,7,7,9,7,8,7,7,7,8,8,9,7,7,9,7,9,7,8,7,5,7,5,9,5,7,9,5,9,4,9,9,5,3,0,8,0,"Me gusta comprar en el mismo canal",7,4,5,6,4,3,0,"Male",50,"De 41 a 60 años","Casado/a",2,"Ninguno","47015","VALLADOLID","De 100000 a 499999 habitantes","Doctorado","Trabaja por cuenta ajena","De 1.500 a 1.999,99 €",3,9
"421",2015-03-28 06:05:00,"YES","0-9%","YES","NO","Once",NA,"In-store shopper","visitstore","In-store customer_monochannel user","YES","NO","NO","NO","NO",NA,3,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,5,6,7,6,7,6,6,6,6,6,6,6,6,6,5,4,0,0,5,6,"Soy cauteloso a la hora de probar nuevos canales",5,5,5,5,5,0,0,"Female",38,"De 25 a 40 años","Casado/a",6,"Cuatro o más","19174","GUADALAJARA","De 5000 a 19999 habitantes","Enseñanza secundaria (BUP/Bachillerato/FP)","Labores de casa","De 1.500 a 1.999,99 €",25.4,17
"423",2015-03-28 06:15:00,"YES","20-29%","YES","YES","None","Twice or three times","Online shopper","visitboth","Online customer_omnichannel user","YES","NO","NO","NO","NO",NA,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10,6,10,9,9,0,10,8,10,6,10,7,7,6,8,7,7,8,7,7,8,8,8,8,9,9,9,8,5,9,8,9,4,7,8,4,9,6,4,7,8,"Disfruto explorando canales alternativos",4,5,4,3,3,6,5,"Female",43,"De 41 a 60 años","Casado/a",5,"Tres","31800","NAVARRA","De 5000 a 19999 habitantes","Estudios universitarios","Trabaja por cuenta propia","De 1.000 a 1.249,99 €",53.8,36
"426",2015-03-28 06:22:00,"YES","20-29%","YES","YES","Twice or three times","Once","In-store & online","visitboth","Omnichannel customer and user","YES","NO","NO","NO","NO",NA,5,5,4,4,4,"NO","NO","NO","YES","NO",NA,"NO","YES","NO","NO","NO","NO",NA,4,4,3,4,3,4,4,5,3,5,6,5,5,4,4,5,4,4,4,4,5,4,5,4,4,4,5,5,3,3,4,4,4,5,5,4,5,3,2,2,2,3,"Disfruto explorando canales alternativos",5,5,6,4,5,4,4,"Female",45,"De 41 a 60 años","Vive en pareja (sin casarse)",2,"Ninguno","28055","MADRID","Más de 1000000 habitantes","Estudios universitarios","Trabaja por cuenta ajena","De 1.250 a 1.499,99 €",10.4,11
"43",2015-03-25 14:33:00,"YES","50-59%","YES","YES","More than five times","Twice or three times","In-store & online","visitboth","Omnichannel customer and user","YES","NO","YES","YES","NO",NA,7,7,6,6,7,"YES","YES","NO","NO","NO",NA,"YES","YES","NO","NO","NO","NO",NA,7,7,6,8,7,8,7,7,7,8,7,8,7,8,6,8,7,9,8,7,8,7,8,6,6,8,7,7,6,9,7,6,7,8,8,7,7,8,7,8,7,9,"Disfruto explorando canales alternativos",7,8,9,5,8,7,7,"Female",35,"De 25 a 40 años","Vive en pareja (sin casarse)",3,"Uno","28011","MADRID","Más de 1000000 habitantes","Enseñanza secundaria (BUP/Bachillerato/FP)","Trabaja por cuenta ajena","De 2.500 a 2.999,99 €",5.6,26
"434",2015-03-28 06:28:00,"YES","20-29%","NO","YES",NA,"Twice or three times","Online shopper","visitweb","Online customer_monochannel user","YES","NO","NO","NO","NO",NA,2,2,0,0,2,NA,NA,NA,NA,NA,NA,"NO","NO","NO","YES","NO","NO",NA,7,7,7,7,8,8,4,7,7,7,7,7,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,6,6,8,8,8,4,4,8,8,"Soy cauteloso a la hora de probar nuevos canales",8,8,8,9,9,3,3,"Male",44,"De 41 a 60 años","Soltero/a",2,"Ninguno","40216","SEGOVIA","De 1000 a 4999 habitantes","Enseñanza secundaria (BUP/Bachillerato/FP)","Trabaja por cuenta ajena","De 1.000 a 1.249,99 €",47.3,46
"436",2015-03-28 06:32:00,"YES","0-9%","YES","YES","Once","None","In-store shopper","visitboth","In-store customer_omnichannel user","YES","NO","NO","NO","NO",NA,6,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,7,7,7,7,0,7,7,7,8,7,8,7,8,8,8,8,8,7,7,8,8,7,7,7,7,5,5,7,6,6,6,2,2,6,6,6,1,1,6,6,"Soy cauteloso a la hora de probar nuevos canales",4,5,5,5,5,1,1,"Male",39,"De 25 a 40 años","Vive en pareja (sin casarse)",3,"Uno","11407","CÁDIZ","De 100000 a 499999 habitantes","Enseñanza secundaria (BUP/Bachillerato/FP)","Trabaja por cuenta ajena","De 1.500 a 1.999,99 €",4.3,15
"438",2015-03-28 06:46:00,"YES","0-9%","YES","YES","Twice or three times","Once","In-store & online","visitboth","Omnichannel customer and user","YES","NO","NO","NO","NO",NA,3,1,5,0,1,NA,NA,NA,NA,NA,NA,"NO","YES","NO","NO","NO","NO",NA,6,9,2,7,8,5,7,6,5,7,9,6,6,5,7,5,7,7,8,4,7,7,8,7,6,9,7,7,8,7,5,5,3,7,9,6,5,1,2,2,5,5,"Disfruto explorando canales alternativos",3,3,4,3,4,6,6,"Female",36,"De 25 a 40 años","Casado/a",4,"Uno","36637","PONTEVEDRA","Menos de 1000 habitantes","Enseñanza secundaria (BUP/Bachillerato/FP)","Trabaja por cuenta ajena","De 500 a 999,99 €",16.5,22
